"title","review","stars","productname","platform"
"",Very helpful,"5.00",TOYOTA,ANDROID
"",It never works when you need it.,"1.00",TOYOTA,ANDROID
WASTE OF MONEY,What a waste! 8 for everything single thing🫨 and monthly that’s crazy keep it sir,"1.00",TOYOTA,IOS
"",Won't allow me to add my car. It says my cars Vin is incorrect even when I scan it. Completely useless!,"1.00",TOYOTA,ANDROID
Ian is a pro!!!!,Thank you so much Ian Saeed Khan for helping us with our purchase for Grand Highlander Platinum edition. He assisted us with a smile the whole time. Thank you also Bajram General Sales Manager for helping also.,"5.00",TOYOTA,IOS
"",Terrible load times. Often just crashes.,"2.00",TOYOTA,ANDROID
"",Horrible! I can't even get started because it says my VIN# is not recognized and my vehicle us 2018. GARBAGE. No way to overide either.,"1.00",TOYOTA,ANDROID
"",I unfortunately find this app to be a bit invasive when it comes to permissions. It looks like the odometer is no longer displaying in app either. I'll update once that changes.,"3.00",TOYOTA,ANDROID
"",very good!!!,"5.00",TOYOTA,ANDROID
App barely works,"Works maybe 20% of the time. Don’t pay the ridiculous money they want for its “features” after the trial period. Toyota, like always, slacking on their tech game","1.00",TOYOTA,IOS
Unhappy,"I have a 2023 Corolla hatchback and from day one have been having problems with this app. From consistently signing me out of the app, to not allowing me to connect my Apple car play(it gives me the QR code to scan, and goes absolutely nowhere from there)and also not connecting for phone calls. I am deeply annoyed with this app and embarrassed for Toyota who normally puts out fine and working products. Bluetooth doesn’t stay connected to my phone either and I have an iPhone 15 pro max. I’ve uninstalled the app in frustration and don’t think I’ll be reinstalling it anytime soon. Thank god I can still get radio and plug my phone in via AUX to hear my music on my phone… Do better Toyota…2 star rating for this app is unacceptable.","1.00",TOYOTA,IOS
‘Allow’ Pop-Up,I should not have to hit ‘Allow’ literally every single time my car connects to my phone. Literally about to uninstall the app from this annoying pop-up. You should only have to allow the first time and your decision should be saved. Most annoying pop-up.,"1.00",LEXUS,IOS
"",Unable to link my galaxy 23 to my 2025 toyota.,"1.00",TOYOTA,ANDROID
"",Useless app!!!,"1.00",TOYOTA,ANDROID
"",Una exelente ayuda muy practica y facil de operar,"5.00",TOYOTA,ANDROID
"",Doesn't work,"1.00",TOYOTA,ANDROID
"","Agradecida con el señor Jerry amable muy educado y resolvió la situación adecuada , a lo que buscaba logrando que saliera con lo que vine a buscar recomendable al 100%","5.00",TOYOTA,ANDROID
Might be THE worst app ever,Literally has the worst user experience ever. If you value apple carplay/the touch screen at all its worth getting any other vehicle,"1.00",TOYOTA,IOS
"","Does not work anymore, no odomoter numbers, no vehicle location, had to delete it. Worked perfectly before the update. Now, Useless","1.00",TOYOTA,ANDROID
"",Still not able to pay my bill through the app. It was working at first,"1.00",TOYOTA,ANDROID
"","I wish they'd reply to my submitted requests for help... -Often, the app randomly opens by itself. Sometimes even if I'm not touching the phone. -Start command works 1/2 of the time. -For what the app seems capable of (when it is working), I would love to see more customizations. Like the ability to lock itself or alert me, past 10pm if unlocked? (instead of random notifications about checking my backseat) -False alerts about doors opening (wow did I run) -Not sure if it's worth 11.14/mo 🤷‍♀","2.00",TOYOTA,ANDROID
"",this app does nothing,"1.00",TOYOTA,ANDROID
Hot mess,"For Japanese organization and attention to detail, this is very embarrassing.","1.00",TOYOTA,IOS
Asking to connect and adds letter to profile name,"App keeps asking if I want to connect with the car every time I get in the vehicle. Also, for some reason the letter “a” keeps getting added to the end of my profile name.","2.00",LEXUS,IOS
Digital Key Doesn’t Work with Android,"The newer 2024 Grand Highlander has an option to share 7 digital keys beyond your own through the Toyota app.  However, Toyota has chosen not to support Android.  Don’t even waste your time trying to make it work.  After many hours of working with the dealer and Toyota Brand Engagement, it was confirmed in writing from the dealer that Toyota doesn’t support Android for sharing digital keys.  There’s a list that says Pixel 7/8 will work, but I have confirmed that the Pixel 8 doesn’t work. Apple iPhone is your only choice for a shared digital key, which I have confirmed works multiple times. It’s sad because I had hoped to use my wife’s Android as a backup key because Toyota is shipping vehicles with only one FOB – another unpleasant surprise. I hope this discovery saves others time.","2.00",TOYOTA,IOS
Image of car is backwards,"The app finally appeared to be working properly. I loved the status bar for the remote start. It was looking up. Then I get in my car to find I have low tire pressure somewhere. I check my app, and find the pressure is dangerously low, allegedly, for my front driver’s side tire. For it to be as low as it was it could only mean I had a leak. I check it and can’t find any tears or nails. It’s night, so I check again in the morning and still can’t find anything. No clue what to do, I decide I’ll just go fill my tire and hope for the best. Before I did, though, I checked all my tires just to make sure I wasn’t missing something and find a nail in the rear passenger tire. That’s where the leak was. I’m so frustrated with this app! One thing is fixed for another thing to be messed up. And to be sure, the picture shows the tire near the mirror is the one with the issue, but that’s not the one actually messed up.","1.00",TOYOTA,IOS
Digital key won’t connect,"I’ve had my new Toyota for almost 2 months now and cannot get the digital key to connect after numerous attempts, reinstalls, etc. finding someone to talk to at Toyota about this is nearly impossible. The dealer has been as helpful as they can but I keep getting “internal server error” messages. Please please work on this feature and also include a chat or access to customer service in the app for technical issues. My (brand new) car only came with one key so having the digital key would be extremely helpful.","2.00",TOYOTA,IOS
Pointless App,Absolutely pointless app does nothing can’t even use it to replace entune,"1.00",TOYOTA,IOS
"",It takes a long time for the app to load and respond.,"2.00",LEXUS,ANDROID
New update,"The new update is useless to me. Before I could check miles, gas level, etc. My vehicle isn’t remote start capable so now I have no use for this app without being able to see the other things.","1.00",TOYOTA,IOS
"","The app never connects to the car right away, digital key is almost worthless. Sometimes I can use digital key to get in the car, but then it won't start...then I go about restarting my phone and all that...it will eventually work. But 5 minutes to get the car running isn't more efficient. Even though I lock the car with the door handle spot, I'll get an alert from the app that the door isn't locked. More magic from the digital key. Not to mention all the trouble that wireless Android Auto is.","1.00",LEXUS,ANDROID
"",Not working,"1.00",TOYOTA,ANDROID
"",Thank you so much Muhammad for making a deal for brand new corolla and Ian Saeed for setting up the technology,"5.00",TOYOTA,ANDROID
"","You won't get any further than the second page or so. It won't let me add my car at all. I've spent a few hours working on this, trying to add a map to my vehicle. This is beyond frustrating.","1.00",TOYOTA,ANDROID
"",digital key does not share properly,"1.00",LEXUS,ANDROID
"","5 stars until I tried to buy the service. Lexus gives a trial, then you buy. Fine. However, they aren't connected to things, so it asks for address multiple times, no Google pay, etc. all inconveniences, but ok. At the end of everything, it asks you to swipe to pay. It was so difficult to do this, that I literally said out loud, if it doesn't work this time, I'm not trying anymore. It did work, but it left me really annoyed. Hence this review. You dropped the ball at the 1 yard line.","2.00",LEXUS,ANDROID
"",Decent ui but drains the battery like crazy. I had to turn off permissions for it to run in the background because it would deplete my phone battery within 4-5 hours otherwise.,"2.00",LEXUS,ANDROID
"",The payment component in the app has not worked for some time now and doesn't seem like it's being fixed.,"1.00",TOYOTA,ANDROID
"","Features constantly non functional, even the payment feature. Can't track maintenance on the app either. Very slow to start up and navigate.","1.00",TOYOTA,ANDROID
Money Grab,"The benefits that this app provides should be included with the purchase of a new vehicle. Instead, dealerships are charging over MSRP and don’t cover the frivolous cost of subscription to use this app.
Navigation systems are also locked behind a subscription
You also have to purchase a cellular plan additional to this in order to use the app
Toyota makes good cars, bad software","1.00",TOYOTA,IOS
Product manager where are you ?,"Status page - lock is hold press
Remote page - long press to lock
What’s the customer value in different functionality ?","2.00",TOYOTA,IOS
